ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,Status,Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Target Pressure (bar)
3254,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,15,2,18.35,4.2,4.1,0.26078245
3255,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,16,2,18.35,7,-1.5,0.20996268
3256,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,17,2,18.35,7,1.3,0.20983441
3257,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,18,2,18.35,7,4.1,0.18368529
3258,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,19,3,19.2,1.15,-1.5,0.20048815
3259,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,20,3,19.2,1.15,1.3,0.20147517
3260,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,21,3,19.2,1.15,4.1,0.19020823
3261,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,22,4,19.2,1.4,4.4,0.15938593
3262,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,23,4,19.2,4.2,4.4,0.11964512
3263,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,24,4,19.2,7,4.4,0.09738265
3264,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,25,5,19.2,7.25,-1.5,0.091725111
3265,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,26,5,19.2,7.25,1.3,0.091978416
3266,24.1,0.6565272,2.8,8.4,0.8,1.6,0.2,462.4,363.5,17,6,6,1.6,14,Subcooled,37.9,-1,152,27,5,19.2,7.25,4.1,0.093522616
3267,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,1,1,11.25,-4.2,-1.6,0.091995329
3268,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,2,1,11.25,-4.2,4.7,0.069773436
3269,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,3,1,11.25,-4.2,11,0.075867757
3270,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,4,1,11.25,0.6,-1.6,0.058239855
3271,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,5,1,11.25,0.6,4.7,0.054048497
3272,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,6,1,11.25,0.6,11,0.051251192
3273,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,7,1,11.25,5.4,-1.6,0.050812684
3274,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,8,1,11.25,5.4,4.7,0.044573553
3275,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,9,1,11.25,5.4,11,0.03808796
3276,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,10,2,8.55,-4.2,-1.6,0.62451023
3277,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,11,2,8.55,-4.2,4.7,0.32861641
3278,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,12,2,8.55,-4.2,11,0.25969386
3279,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,13,2,8.55,0.6,-1.6,0.8849386
3280,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,14,2,8.55,0.6,4.7,0.46597508
3281,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,15,2,8.55,0.6,11,0.31519443
3282,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,16,2,8.55,5.4,-1.6,0.52328753
3283,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,17,2,8.55,5.4,4.7,0.27568167
3284,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,18,2,8.55,5.4,11,0.24098854
3285,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,19,3,9.9,-4.45,-1.6,0.23998657
3286,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,20,3,9.9,-4.45,4.7,0.15560538
3287,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,21,3,9.9,-4.45,11,0.1352817
3288,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,22,4,9.9,-4.2,11.3,0.095744647
3289,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,23,4,9.9,0.6,11.3,0.080833845
3290,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,24,4,9.9,5.3,11.3,0.093887024
3291,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,25,5,9.9,5.65,-1.6,0.14829306
3292,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,26,5,9.9,5.65,4.7,0.091159239
3293,27,0.8022663,1.2,4.6,2.4,1.6,0.4,306.5,294.6,8,10,13,2.6,4,Subcooled,42.5,-42,96.7,27,5,9.9,5.65,11,0.082613766
3294,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,1,1,8.45,-2.6,-1.5,0.14664449
3295,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,2,1,8.45,-2.6,1.8,0.14590766
3296,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,3,1,8.45,-2.6,5.1,0.13866331
3297,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,4,1,8.45,0.2,-1.5,0.14076249
3298,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,5,1,8.45,0.2,1.8,0.16420525
3299,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,6,1,8.45,0.2,5.1,0.10356999
3300,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,7,1,8.45,3,-1.5,0.098521188
3301,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,8,1,8.45,3,1.8,0.09449324
3302,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,9,1,8.45,3,5.1,0.13295819
3303,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,10,2,6.15,-2.6,-1.5,1.7216617
3304,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,11,2,6.15,-2.6,1.8,0.75469428
3305,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,12,2,6.15,-2.6,5.1,0.84949237
3306,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,13,2,6.15,0.2,-1.5,2.1539905
3307,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,14,2,6.15,0.2,1.8,0.97187823
3308,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,15,2,6.15,0.2,5.1,0.9463557
3309,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,16,2,6.15,3,-1.5,1.5764886
3310,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,17,2,6.15,3,1.8,0.71738815
3311,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,18,2,6.15,3,5.1,0.81966335
3312,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,19,3,7.3,-2.85,-1.5,0.41544396
3313,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,20,3,7.3,-2.85,1.8,0.37452441
3314,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,21,3,7.3,-2.85,5.1,0.3004978
3315,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,22,4,7.3,-2.6,5.4,0.28460288
3316,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,23,4,7.3,0.2,5.4,0.23944496
3317,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,24,4,7.3,3,5.4,0.27290362
3318,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,25,5,7.3,3.25,-1.5,0.37064007
3319,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,26,5,7.3,3.25,1.8,0.30161041
3320,36.5,0.5756893,2.4,3,1.4,1.4,0.6,411.9,313.2,5,6,7,2.2,2,Subcooled,42.5,-42,96.7,27,5,7.3,3.25,5.1,0.24711506
3321,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,1,1,13.75,0.6,-1,0.1161796
3322,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,2,1,13.75,0.6,4.8,0.11928593
3323,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,3,1,13.75,0.6,10.6,0.096889816
3324,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,4,1,13.75,6.4,-1,0.044767994
3325,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,5,1,13.75,6.4,4.8,0.044767749
3326,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,6,1,13.75,6.4,10.6,0.035917655
3327,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,7,1,13.75,12.2,-1,0.027241131
3328,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,8,1,13.75,12.2,4.8,0.028372262
3329,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,9,1,13.75,12.2,10.6,0.041492656
3330,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,10,2,11.85,0.6,-1,0.66866833
3331,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,11,2,11.85,0.6,4.8,0.62718034
3332,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,12,2,11.85,0.6,10.6,0.35473585
3333,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,13,2,11.85,6.4,-1,0.39857933
3334,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,14,2,11.85,6.4,4.8,0.38114521
3335,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,15,2,11.85,6.4,10.6,0.24939719
3336,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,16,2,11.85,12.2,-1,0.23463255
3337,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,17,2,11.85,12.2,4.8,0.22731568
3338,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,18,2,11.85,12.2,10.6,0.14367791
3339,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,19,3,12.8,0.35,-1,0.38905376
3340,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,20,3,12.8,0.35,4.8,0.381998
3341,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,21,3,12.8,0.35,10.6,0.22758658
3342,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,22,4,12.8,0.6,10.9,0.15418161
3343,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,23,4,12.8,6.4,10.9,0.088076361
3344,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,24,4,12.8,12.2,10.9,0.062841617
3345,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,25,5,12.8,12.45,-1,0.079596087
3346,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,26,5,12.8,12.45,4.8,0.079610281
3347,20.2,0.5860262,1.8,7.4,0.8,1,0.4,386.1,307.3,11,12,12,1.8,30,Subcooled,42.5,-42,96.7,27,5,12.8,12.45,10.6,0.061114673
3348,22.6,0.8501493,3,4.4,2.2,1.2,0.4,562.4,368.7,16,9,8,1.4,25,Subcooled,37.9,-1,152,1,1,18.95,3.1,-1.2,0.065245934
3349,22.6,0.8501493,3,4.4,2.2,1.2,0.4,562.4,368.7,16,9,8,1.4,25,Subcooled,37.9,-1,152,2,1,18.95,3.1,2.6,0.065688275
3350,22.6,0.8501493,3,4.4,2.2,1.2,0.4,562.4,368.7,16,9,8,1.4,25,Subcooled,37.9,-1,152,3,1,18.95,3.1,6.4,0.078343458
3351,22.6,0.8501493,3,4.4,2.2,1.2,0.4,562.4,368.7,16,9,8,1.4,25,Subcooled,37.9,-1,152,4,1,18.95,7.4,-1.2,0.032148261
3352,22.6,0.8501493,3,4.4,2.2,1.2,0.4,562.4,368.7,16,9,8,1.4,25,Subcooled,37.9,-1,152,5,1,18.95,7.4,2.6,0.037535377
3353,22.6,0.8501493,3,4.4,2.2,1.2,0.4,562.4,368.7,16,9,8,1.4,25,Subcooled,37.9,-1,152,6,1,18.95,7.4,6.4,0.040272575
